,,Detroit (DET),DST25,5,,,3#
,,New York (NYJ),DST26,4,,,3#
,,Breshad Perriman,WR101,7,TB,,3#
,,Equanimeous St. Brown,WR102,11,GB,,3#
,,Wendell Smallwood,RB89,10,PHI,,3#
,,Hunter Renfrow,WR103,6,OAK,,3#
,,Demaryius Thomas,WR104,10,NE,,3#
,,Hayden Hurst,TE31,8,BAL,,3#
,,Taywan Taylor,WR105,11,TEN,,3#
,,Diontae Johnson,WR106,7,PIT,,3#
,,Chris Hogan,WR107,7,CAR,,3#
,,New York (NYG),DST27,11,,,3#
,,Bilal Powell,RB90,4,NYJ,,3#
,,Ricky Seals-Jones,TE32,12,ARI,,3#
,,Cameron Artis-Payne,RB91,7,CAR,,3#
,,John Kelly,RB92,9,LAR,,3#
,,Preston Williams,WR108,5,MIA,,3#
,,Qadree Ollison,RB93,9,ATL,,3#
,,Will Dissly,TE33,11,SEA,,3#
,,Steven Hauschka,K23,6,BUF,,3#
,,Jaron Brown,WR109,11,SEA,,3#
,,Jake Kumerow,WR110,11,GB,,3#
,,Deon Cain,WR111,6,IND,,3#
,,San Francisco (SF),DST28,4,,,3#
,,Michael Crabtree,WR112,12,ARI,,3#
,,Mike Weber,RB94,8,DAL,,3#
,,Greg Joseph,K24,7,CLE,,3#
,,Jakobi Meyers,WR113,10,NE,,3#
,,Rod Smith,RB95,11,NYG,,3#
,,Ameer Abdullah,RB96,12,MIN,,3#
,,Demarcus Robinson,WR114,12,KC,,3#
,,Travis Benjamin,WR115,12,LAC,,3#
,,Myles Gaskin,RB97,5,MIA,,3#
,,D'Onta Foreman,RB98,,FA,,3#
,,Nick Vannett,TE34,11,SEA,,3#
,,Trayveon Williams,RB99,9,CIN,,3#
,,Spencer Ware,RB100,6,IND,,3#
,,Matt LaCosse,TE35,10,NE,,3#
,,Charles Clay,TE36,12,ARI,,3#
,,Darren Sproles,RB101,10,PHI,,3#
,,Geoff Swaim,TE37,10,JAC,,3#
,,Zach Zenner,RB102,,FA,,3#
,,Jordan Thomas,TE38,10,HOU,,3#
,,Cordarrelle Patterson,WR116,6,CHI,,3#
,,Taysom Hill,QB37,9,NO,,3#
,,Ty Johnson,RB103,5,DET,,3#
,,Jordan Scarlett,RB104,7,CAR,,3#
,,Irv Smith Jr.,TE39,12,MIN,,3#
,,Andre Ellington,RB105,7,TB,,3#
,,Alfred Morris,RB106,8,DAL,,3#
,,Mark Walton,RB107,5,MIA,,3#
,,Jeff Wilson,RB108,4,SF,,3#
,,Benjamin Watson,TE40,10,NE,,3#
,,Drew Lock,QB38,10,DEN,,3#
,,Daniel Carlson,K25,6,OAK,,3#
,,Keith Kirkwood,WR117,9,NO,,3#
,,Jonnu Smith,TE41,11,TEN,,3#
,,Rodney Anderson,RB109,9,CIN,,3#
,,Darrel Williams,RB110,12,KC,,3#
,,Trent Taylor,WR118,4,SF,,3#
,,Bruce Anderson,RB111,7,TB,,3#
,,Bryce Love,RB112,10,WAS,,3#
,,Trenton Cannon,RB113,4,NYJ,,3#
,,Justin Watson,WR119,7,TB,,3#
,,Miami (MIA),DST29,5,,,3#
,,Ryan Grant,WR120,6,OAK,,3#
,,Blake Bortles,QB39,9,LAR,,3#
,,Vernon Davis,TE42,10,WAS,,3#
,,Mike Boone,RB114,12,MIN,,3#
,,C.J. Uzomah,TE43,9,CIN,,3#
